text,dict_syn
<mask> ain’t shit unless they’re doing magic,"['performer', 'performing_artist', 'occultist']"
Magicians ain’t,"['small_indefinite_quantity', 'buncombe', 'small_indefinite_amount']"
Magicians ain’t shit unless they’re doing,"['supernaturalism', 'performance']"
56:10 lmaooo this,"['conference', 'group_discussion']"
Whoa they finally let Syama Pedersen,"['skilled_worker', 'trained_worker', 'skilled_workman']"
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to,['worker']
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to freelance,"['geographical_point', 'business', 'line']"
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to freelance work. I guess they repaired their,"['relation', 'state']"
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to freelance work. I guess they repaired their relationship during secret,"['state', 'construction', 'structure']"
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to freelance work. I guess they repaired their relationship during secret level and finally gave my,"['grouping', 'body_servant']"
Whoa they finally let Syama Pedersen cook I thought this would never come out ever since Syama went back to freelance work. I guess they repaired their relationship during secret level and finally gave my man some,"['program', 'plan', 'fund', 'programme']"
How you have 100,"['two', 'deuce', 'assemblage', 'gathering', 'II']"
How you have 100 pairs of swimshorts but never been in the,"['large_indefinite_amount', 'large_indefinite_quantity', 'water']"
Im just here for the,"['wheeled_vehicle', 'compartment']"
Im just here for the,"['wheeled_vehicle', 'motor_vehicle', 'automotive_vehicle']"
The,"['opportunity', 'estimate']"
The shot of the Predator rolling down the,"['way', 'means', 'agency']"
The shot of the Predator rolling down the road - GW! Tracks always beat hover,"['freight_car', 'prison_cell']"
I love how Katt loves the,['wheeled_vehicle']
I love how Katt loves the bicycle,"['news', 'prevarication', 'record']"
I love how Katt loves the bicycle story. Its embellished but Theo embellishes it to make it kinda ridculous with the,['wheeled_vehicle']
I love how Katt loves the bicycle story. Its embellished but Theo embellishes it to make it kinda ridculous with the bicycles. But then Katt clarifies and its even more ridiculous because there is a million,"['bank_bill', ""banker's_bill""]"
